sample_index,wall_time_s,elapsed_s,tick,mode_machine,arm0,arm1,arm2,arm3,arm4,arm5,arm6,arm7,arm8,arm9,arm10,arm11,arm12,arm13
0,1782728465.934336185,0.000000416,3475385,5,0.2853923,0.1704037,-0.0288940,0.9884949,0.0819002,-0.0379061,-0.0015819,0.2977481,-0.1844971,0.0466067,0.9935043,-0.1179248,0.0343348,0.0463190
1,1782728465.949506760,0.013566067,3475401,5,0.2855122,0.1702000,-0.0289299,0.9884949,0.0811092,-0.0384694,-0.0009228,0.2984671,-0.1844971,0.0464509,0.9935043,-0.1179487,0.0338554,0.0462351
2,1782728465.977070093,0.028910847,3475428,5,0.2853923,0.1701041,-0.0289299,0.9885188,0.0797071,-0.0392963,-0.0003116,0.3000490,-0.1844612,0.0463070,0.9934803,-0.1179847,0.0327649,0.0462471
3,1782728466.007248402,0.056449362,3475459,5,0.2846613,0.1700561,-0.0289299,0.9885069,0.0785446,-0.0397157,-0.0000120,0.3023860,-0.1843893,0.0462591,0.9933964,-0.1178768,0.0314706,0.0463310
4,1782728466.040651083,0.087013863,3475492,5,0.2824802,0.1700322,-0.0289539,0.9885188,0.0774900,-0.0398356,0.0001558,0.3059693,-0.1843414,0.0462831,0.9934443,-0.1178768,0.0298168,0.0463310
5,1782728466.074799061,0.120077259,3475526,5,0.2787651,0.1700202,-0.0289419,0.9885548,0.0769986,-0.0398356,0.0001798,0.3103315,-0.1843414,0.0461632,0.9938518,-0.1177810,0.0282828,0.0463430
6,1782728466.108860016,0.154633567,3475560,5,0.2761525,0.1699962,-0.0290138,0.9887106,0.0768788,-0.0398116,0.0001798,0.3154967,-0.1842095,0.0461393,0.9946547,-0.1177330,0.0271203,0.0463550
7,1782728466.143243313,0.188430107,3475594,5,0.2720419,0.1699843,-0.0291456,0.9891300,0.0768429,-0.0397157,0.0001438,0.3219202,-0.1840298,0.0461393,0.9956015,-0.1177570,0.0257661,0.0463670
8,1782728466.176280975,0.222673765,3475628,5,0.2659779,0.1699962,-0.0291936,0.9897172,0.0768788,-0.0394401,0.0001318,0.3274330,-0.1836702,0.0461273,0.9969557,-0.1177450,0.0254425,0.0464029
9,1782728466.209796667,0.255822348,3475661,5,0.2569658,0.1700801,-0.0292295,0.9915388,0.0769267,-0.0389727,0.0001438,0.3316874,-0.1830471,0.0461393,0.9984897,-0.1177450,0.0251549,0.0464029
10,1782728466.243867397,0.289669961,3475695,5,0.2460122,0.1703438,-0.0292775,0.9929050,0.0770586,-0.0391405,0.0002037,0.3345876,-0.1822201,0.0460913,0.9995922,-0.1176611,0.0248673,0.0464029
11,1782728466.274407864,0.323101657,3475726,5,0.2370120,0.1711707,-0.0300205,0.9962726,0.0776818,-0.0391884,0.0004434,0.3356062,-0.1816809,0.0461033,1.0000836,-0.1176132,0.0237168,0.0464868
12,1782728466.304717779,0.354346339,3475756,5,0.2304447,0.1721774,-0.0300445,0.9986814,0.0774540,-0.0402310,0.0004314,0.3363613,-0.1814052,0.0460913,1.0000836,-0.1174694,0.0211761,0.0464868
13,1782728466.343690634,0.384735025,3475795,5,0.2157999,0.1730522,-0.0322615,1.0003712,0.0774900,-0.0420167,0.0005752,0.3374039,-0.1814292,0.0460554,1.0001915,-0.1174095,0.0183119,0.0464868
14,1782728466.377713680,0.423484748,3475829,5,0.2003043,0.1737113,-0.0380859,0.9992447,0.0774900,-0.0456839,0.0006711,0.3373200,-0.1813093,0.0460554,1.0004671,-0.1173016,0.0162386,0.0464988
15,1782728466.410132408,0.457318376,3475861,5,0.1844612,0.1747060,-0.0502379,0.9965123,0.0775140,-0.0541447,0.0008868,0.3369605,-0.1812254,0.0460674,1.0004431,-0.1172057,0.0123198,0.0465108
16,1782728466.443526030,0.489660437,3475895,5,0.1657538,0.1812614,-0.0700838,0.9894776,0.0774421,-0.0642235,0.0006831,0.3367088,-0.1812135,0.0460074,1.0004072,-0.1170859,0.0064595,0.0464988
17,1782728466.476566792,0.522856446,3475928,5,0.1424565,0.1886916,-0.0933451,0.9753961,0.0768908,-0.0796232,-0.0026126,0.3366249,-0.1812254,0.0458516,1.0004072,-0.1170140,-0.0003955,0.0464509
18,1782728466.511073589,0.556248557,3475962,5,0.1106743,0.1911484,-0.1233177,0.9548072,0.0763155,-0.1004038,-0.0089402,0.3372361,-0.1812254,0.0457198,1.0006229,-0.1169421,-0.0049375,0.0464628
19,1782728466.543150425,0.590215758,3475994,5,0.0776698,0.1914360,-0.1627937,0.9265124,0.0757763,-0.1218916,-0.0198459,0.3372241,-0.1811895,0.0457078,1.0007668,-0.1169421,-0.0087605,0.0465108
20,1782728466.576415539,0.622680639,3476028,5,0.0443656,0.1892309,-0.2053857,0.8938195,0.0756324,-0.1458600,-0.0289659,0.3361455,-0.1811536,0.0456719,1.0007068,-0.1168941,-0.0129669,0.0465707
21,1782728466.609566927,0.655587102,3476061,5,0.0135901,0.1863307,-0.2464796,0.8625766,0.0755246,-0.1695768,-0.0407823,0.3334611,-0.1810577,0.0456479,0.9999039,-0.1169181,-0.0192587,0.0465228
