policy_step,dataset_index,dataset_frame,inference_s,loop_s,sent_to_robot,arm_state,left_hand_state,right_hand_state,predicted_action,limited_arm,limited_left_hand,limited_right_hand,dataset_state,dataset_action
0,0,0,1.6282822030007083,1.7564386799986096,False,"[-0.9957692623138428, 1.7208987474441528, 0.4239898920059204, 2.075871467590332, -1.3049503564834595, -0.06259360909461975, -0.26371288299560547, 0.10281267017126083, -0.016694026067852974, -0.40198686718940735, 1.3451573848724365, 1.2679790258407593, -0.06542188674211502, -0.08162456005811691]","[337.0, 2.0, 1.0, 4.0, 8.0, 936.0]","[2.0, 13.0, 0.0, 0.0, 30.0, 990.0]","[-0.023038789629936218, 0.19672244787216187, 0.06720292568206787, 0.8870171308517456, -1.0166224241256714, -0.2841421961784363, -0.030337244272232056, -0.05741658806800842, -0.4655759632587433, 0.07860034704208374, 0.21191975474357605, 0.3309701979160309, -0.2566971778869629, -0.15812820196151733, 0.30000022053718567, 0.3000004291534424, 0.2999998927116394, 0.19999955594539642, 0.10000050812959671, 0.0, 0.8805661201477051, 0.8796008229255676, 0.879510223865509, 0.8763264417648315, 0.7760774493217468, 0.0]","[-0.9757692813873291, 1.7008987665176392, 0.40398988127708435, 2.0558714866638184, -1.2849503755569458, -0.08259360492229462, -0.2437128871679306, 0.08281266689300537, -0.03669402748346329, -0.3819868564605713, 1.3251574039459229, 1.2479790449142456, -0.08542189002037048, -0.10162456333637238]","[257.0, 0.3000004291534424, 0.2999998927116394, 0.19999957084655762, 0.10000038146972656, 856.0]","[0.8805661201477051, 0.8796005249023438, 0.879510223865509, 0.8763264417648315, 0.7760772705078125, 910.0]","[0.36773595213890076, 0.2125042825937271, -0.19506722688674927, 0.13865748047828674, -1.1988658905029297, -0.09092431515455246, 0.2910129427909851, 0.34811776876449585, -0.39933836460113525, 0.2565223276615143, 0.258667528629303, 0.43556666374206543, -0.10707905143499374, 0.08358997106552124, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
1,1,1,0.005921627000134322,0.06155732899969735,False,"[-0.9957932233810425, 1.7209347486495972, 0.42397791147232056, 2.075859546661377, -1.3049383163452148, -0.06259360909461975, -0.2637009024620056, 0.10282465070486069, -0.016694026067852974, -0.40196290612220764, 1.345145344734192, 1.2679909467697144, -0.06542188674211502, -0.08162456005811691]","[337.0, 2.0, 1.0, 5.0, 8.0, 936.0]","[2.0, 12.0, 0.0, 0.0, 30.0, 990.0]","[-0.018863724544644356, 0.18899105489253998, 0.0774741917848587, 0.9165550470352173, -1.0238505601882935, -0.28857144713401794, -0.020567238330841064, -0.0470370352268219, -0.4631112515926361, 0.06359592080116272, 0.2139258235692978, 0.3372287154197693, -0.25867748260498047, -0.16316360235214233, 0.30000022053718567, 0.30000039935112, 0.2999998927116394, 0.19999957084655762, 0.10000048577785492, 0.0, 0.8859632015228271, 0.8850417137145996, 0.8849613070487976, 0.8826661109924316, 0.7824276685714722, 0.0]","[-0.9757932424545288, 1.7009347677230835, 0.4039779007434845, 2.0558595657348633, -1.2849383354187012, -0.08259360492229462, -0.24370090663433075, 0.08282464742660522, -0.03669402748346329, -0.3819628953933716, 1.3251453638076782, 1.2479909658432007, -0.08542189002037048, -0.10162456333637238]","[257.0, 0.3000004291534424, 0.2999998927116394, 0.19999980926513672, 0.10000038146972656, 856.0]","[0.8859632015228271, 0.8850421905517578, 0.8849613070487976, 0.8826661109924316, 0.7824268341064453, 910.0]","[0.36773595213890076, 0.21249230206012726, -0.195235013961792, 0.1386454999446869, -1.1988658905029297, -0.09092431515455246, 0.2908931076526642, 0.3480578660964966, -0.39961397647857666, 0.2585356831550598, 0.25927871465682983, 0.43553072214126587, -0.10392720252275467, 0.08474045991897583, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
2,2,2,0.005287943999064737,0.07825478599988855,False,"[-0.9957572817802429, 1.7209466695785522, 0.4239898920059204, 2.075847625732422, -1.3049622774124146, -0.06259360909461975, -0.26371288299560547, 0.10283663868904114, -0.016694026067852974, -0.4019748866558075, 1.345145344734192, 1.2679790258407593, -0.06542188674211502, -0.08161257207393646]","[337.0, 2.0, 1.0, 5.0, 8.0, 936.0]","[2.0, 12.0, 0.0, 0.0, 30.0, 990.0]","[-0.014735635370016098, 0.1885024905204773, 0.0791507214307785, 0.9002044200897217, -1.0373395681381226, -0.2902154326438904, -0.02776569128036499, -0.05440601706504822, -0.476021409034729, 0.06060713529586792, 0.13934776186943054, 0.3072490096092224, -0.28479236364364624, -0.18616639077663422, 0.30000025033950806, 0.3000003695487976, 0.2999999225139618, 0.1999996155500412, 0.10000045597553253, 0.0, 0.8773073554039001, 0.8764963746070862, 0.8764093518257141, 0.8726730346679688, 0.7724751234054565, 0.0]","[-0.9757573008537292, 1.7009466886520386, 0.40398988127708435, 2.055847644805908, -1.2849622964859009, -0.08259360492229462, -0.2437128871679306, 0.08283664286136627, -0.03669402748346329, -0.38197487592697144, 1.3251453638076782, 1.2479790449142456, -0.08542189002037048, -0.10161256790161133]","[257.0, 0.3000004291534424, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 856.0]","[0.8773074150085449, 0.8764963150024414, 0.8764093518257141, 0.8726730346679688, 0.7724742889404297, 910.0]","[0.36775991320610046, 0.21252824366092682, -0.19531890749931335, 0.1387174129486084, -1.1988658905029297, -0.0908883661031723, 0.2907852530479431, 0.3480818271636963, -0.39984169602394104, 0.25965023040771484, 0.2595663368701935, 0.4355546832084656, -0.10284861922264099, 0.08504006266593933, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
3,3,3,0.005927108000832959,0.06365106900011597,False,"[-0.9957812428474426, 1.7209227085113525, 0.4239898920059204, 2.075871467590332, -1.3049143552780151, -0.06259360909461975, -0.2637248635292053, 0.10281267017126083, -0.016717994585633278, -0.40198686718940735, 1.345145344734192, 1.2679790258407593, -0.06540989875793457, -0.08161257207393646]","[337.0, 2.0, 1.0, 5.0, 8.0, 936.0]","[2.0, 12.0, 0.0, 0.0, 30.0, 990.0]","[-0.017506174743175507, 0.1827498972415924, 0.0822659283876419, 0.9196046590805054, -1.0401643514633179, -0.29332828521728516, -0.01926332712173462, -0.056214839220047, -0.4714603126049042, 0.05169209837913513, 0.15811800956726074, 0.32043394446372986, -0.2852439880371094, -0.18103674054145813, 0.30000025033950806, 0.3000003695487976, 0.2999999523162842, 0.1999996155500412, 0.10000045597553253, 0.0, 0.8817076683044434, 0.8809073567390442, 0.880834698677063, 0.8778263926506042, 0.7776161432266235, 0.0]","[-0.975781261920929, 1.7009227275848389, 0.40398988127708435, 2.0558714866638184, -1.2849143743515015, -0.08259360492229462, -0.24372486770153046, 0.08281266689300537, -0.03671799600124359, -0.3819868564605713, 1.3251453638076782, 1.2479790449142456, -0.08540989458560944, -0.10161256790161133]","[257.0, 0.3000004291534424, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 856.0]","[0.8817076683044434, 0.8809070587158203, 0.880834698677063, 0.8778263926506042, 0.7776165008544922, 910.0]","[0.3681793808937073, 0.2125042825937271, -0.19537882506847382, 0.13887320458889008, -1.1988539695739746, -0.09076852351427078, 0.2907373011112213, 0.348105788230896, -0.3998536765575409, 0.2610164284706116, 0.25985395908355713, 0.435518741607666, -0.0986781120300293, 0.08531569689512253, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
4,4,4,0.006749869000486797,0.07470106499931717,False,"[-0.9957692623138428, 1.7209227085113525, 0.42397791147232056, 2.075835704803467, -1.3049503564834595, -0.0626055896282196, -0.2637009024620056, 0.10282465070486069, -0.016717994585633278, -0.4019748866558075, 1.345145344734192, 1.2679790258407593, -0.06540989875793457, -0.08161257207393646]","[337.0, 2.0, 1.0, 5.0, 8.0, 936.0]","[2.0, 13.0, 0.0, 0.0, 30.0, 990.0]","[-0.013096526265144348, 0.1859804093837738, 0.08009688556194305, 0.8935710191726685, -1.0417426824569702, -0.2951904535293579, -0.027642875909805298, -0.05262216925621033, -0.48073816299438477, 0.05001544952392578, 0.1063816249370575, 0.31534403562545776, -0.2930646240711212, -0.18588988482952118, 0.30000025033950806, 0.3000003397464752, 0.2999999523162842, 0.19999966025352478, 0.10000042617321014, 0.0, 0.8786585330963135, 0.8779296278953552, 0.8778566122055054, 0.874344527721405, 0.7741519212722778, 0.0]","[-0.9757692813873291, 1.7009227275848389, 0.4039779007434845, 2.055835723876953, -1.2849503755569458, -0.08260558545589447, -0.24370090663433075, 0.08282464742660522, -0.03671799600124359, -0.38197487592697144, 1.3251453638076782, 1.2479790449142456, -0.08540989458560944, -0.10161256790161133]","[257.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 856.0]","[0.8786585330963135, 0.8779296875, 0.8778566122055054, 0.874344527721405, 0.7741527557373047, 910.0]","[0.36868271231651306, 0.21251626312732697, -0.19572636485099792, 0.13893312215805054, -1.1988539695739746, -0.09076852351427078, 0.29062944650650024, 0.3481297492980957, -0.3999974727630615, 0.26222681999206543, 0.2602614164352417, 0.4354947507381439, -0.09526260942220688, 0.08536363393068314, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
5,5,5,0.00486453600024106,0.06512881699927675,False,"[-0.9957572817802429, 1.7209107875823975, 0.42397791147232056, 2.075859546661377, -1.3049503564834595, -0.0626055896282196, -0.26371288299560547, 0.10284861922264099, -0.016717994585633278, -0.40196290612220764, 1.345145344734192, 1.2679909467697144, -0.06540989875793457, -0.08162456005811691]","[337.0, 2.0, 1.0, 5.0, 8.0, 936.0]","[2.0, 12.0, 0.0, 0.0, 30.0, 990.0]","[-0.009583096951246262, 0.17970922589302063, 0.09037919342517853, 0.9135363698005676, -1.0396052598953247, -0.298689603805542, -0.01655137538909912, -0.044851064682006836, -0.47882071137428284, 0.03345292806625366, 0.087933748960495, 0.3182152211666107, -0.29758524894714355, -0.18139314651489258, 0.30000025033950806, 0.30000030994415283, 0.2999999523162842, 0.19999967515468597, 0.10000040382146835, 0.0, 0.8817728757858276, 0.8811055421829224, 0.8810528516769409, 0.8780420422554016, 0.7778561115264893, 0.0]","[-0.9757573008537292, 1.7009108066558838, 0.4039779007434845, 2.0558595657348633, -1.2849503755569458, -0.08260558545589447, -0.2437128871679306, 0.08284862339496613, -0.03671799600124359, -0.3819628953933716, 1.3251453638076782, 1.2479909658432007, -0.08540989458560944, -0.10162456333637238]","[257.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 856.0]","[0.8817728757858276, 0.8811054229736328, 0.8810528516769409, 0.8780420422554016, 0.7778568267822266, 910.0]","[0.3686227798461914, 0.21254023909568787, -0.19567842781543732, 0.13887320458889008, -1.19884192943573, -0.09079249203205109, 0.2885202169418335, 0.3476743698120117, -0.4002012312412262, 0.26253843307495117, 0.26020148396492004, 0.4355067312717438, -0.09521467238664627, 0.0860946774482727, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
6,6,6,0.004800249000254553,0.07317265399979078,False,"[-0.9958052039146423, 1.7209347486495972, 0.42397791147232056, 2.075859546661377, -1.3049622774124146, -0.0626055896282196, -0.2637009024620056, 0.10281267017126083, -0.016694026067852974, -0.40196290612220764, 1.3451573848724365, 1.2679669857025146, -0.06540989875793457, -0.08161257207393646]","[337.0, 2.0, 1.0, 5.0, 8.0, 936.0]","[2.0, 12.0, 0.0, 0.0, 30.0, 990.0]","[-0.007150322198867798, 0.17972755432128906, 0.0855986624956131, 0.9128953814506531, -1.0425715446472168, -0.29661595821380615, -0.020534396171569824, -0.04625633358955383, -0.4802905321121216, 0.04085990786552429, 0.09465548396110535, 0.31828275322914124, -0.29171985387802124, -0.17932449281215668, 0.30000028014183044, 0.30000030994415283, 0.29999998211860657, 0.19999967515468597, 0.10000041872262955, 0.0, 0.8815386295318604, 0.8808528780937195, 0.8807898759841919, 0.8777483701705933, 0.7775645852088928, 0.0]","[-0.9758052229881287, 1.7009347677230835, 0.4039779007434845, 2.0558595657348633, -1.2849622964859009, -0.08260558545589447, -0.24370090663433075, 0.08281266689300537, -0.03669402748346329, -0.3819628953933716, 1.3251574039459229, 1.247967004776001, -0.08540989458560944, -0.10161256790161133]","[257.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 856.0]","[0.8815386295318604, 0.8808526992797852, 0.8807898759841919, 0.8777483701705933, 0.7775650024414062, 910.0]","[0.3686707317829132, 0.21254023909568787, -0.19606192409992218, 0.13888518512248993, -1.1988539695739746, -0.09080447256565094, 0.28740569949150085, 0.34744665026664734, -0.4011719524860382, 0.26253843307495117, 0.2602134943008423, 0.4354468286037445, -0.09520268440246582, 0.0869215875864029, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
7,7,7,0.007549505000497447,0.06721813600051973,False,"[-0.9957572817802429, 1.7209107875823975, 0.42397791147232056, 2.075871467590332, -1.3049503564834595, -0.06259360909461975, -0.2637009024620056, 0.10280068218708038, -0.016706010326743126, -0.40198686718940735, 1.3451693058013916, 1.2679790258407593, -0.06542188674211502, -0.08158860355615616]","[337.0, 2.0, 1.0, 5.0, 8.0, 936.0]","[2.0, 12.0, 0.0, 0.0, 30.0, 990.0]","[-0.008879926055669785, 0.17759999632835388, 0.09258893132209778, 0.9290893077850342, -1.0430175065994263, -0.2967003285884857, -0.011134326457977295, -0.04203355312347412, -0.4749854803085327, 0.027914881706237793, 0.10401538014411926, 0.33467912673950195, -0.2901522219181061, -0.1820569783449173, 0.30000025033950806, 0.3000003397464752, 0.2999999523162842, 0.19999966025352478, 0.10000044107437134, 0.0, 0.8815463781356812, 0.8808018565177917, 0.8807430267333984, 0.8777039647102356, 0.7774940133094788, 0.0]","[-0.9757573008537292, 1.7009108066558838, 0.4039779007434845, 2.0558714866638184, -1.2849503755569458, -0.08259360492229462, -0.24370090663433075, 0.08280068635940552, -0.03670600801706314, -0.3819868564605713, 1.325169324874878, 1.2479790449142456, -0.08542189002037048, -0.10158860683441162]","[257.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 856.0]","[0.8815463781356812, 0.8808021545410156, 0.8807430267333984, 0.8777039647102356, 0.7774944305419922, 910.0]","[0.3686946928501129, 0.21254023909568787, -0.19609788060188293, 0.13893312215805054, -1.1988779306411743, -0.09080447256565094, 0.2874176800251007, 0.34809380769729614, -0.4016273319721222, 0.262550413608551, 0.2602134943008423, 0.4351711869239807, -0.09515474736690521, 0.08778444677591324, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
8,8,8,0.006216801000846317,0.07640134299981582,False,"[-0.9957572817802429, 1.7209227085113525, 0.42397791147232056, 2.075859546661377, -1.3049622774124146, -0.06259360909461975, -0.26371288299560547, 0.10281267017126083, -0.016706010326743126, -0.40198686718940735, 1.3451573848724365, 1.2679790258407593, -0.06542188674211502, -0.08161257207393646]","[337.0, 2.0, 1.0, 5.0, 8.0, 936.0]","[2.0, 13.0, 0.0, 0.0, 30.0, 990.0]","[-0.005663581192493439, 0.1763877123594284, 0.08917129039764404, 0.9187215566635132, -1.0475332736968994, -0.29884058237075806, -0.01468011736869812, -0.04765048623085022, -0.482950896024704, 0.027622580528259277, 0.06602829694747925, 0.32648587226867676, -0.30001652240753174, -0.1856221854686737, 0.30000028014183044, 0.30000030994415283, 0.29999998211860657, 0.19999969005584717, 0.10000041872262955, 0.0, 0.8793966770172119, 0.8787392377853394, 0.8786863684654236, 0.8752828240394592, 0.775097668170929, 0.0]","[-0.9757573008537292, 1.7009227275848389, 0.4039779007434845, 2.0558595657348633, -1.2849622964859009, -0.08259360492229462, -0.2437128871679306, 0.08281266689300537, -0.03670600801706314, -0.3819868564605713, 1.3251574039459229, 1.2479790449142456, -0.08542189002037048, -0.10161256790161133]","[257.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 856.0]","[0.8793966770172119, 0.8787393569946289, 0.8786863684654236, 0.8752828240394592, 0.7750968933105469, 910.0]","[0.3686946928501129, 0.21256420016288757, -0.19633756577968597, 0.13895709812641144, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3479020595550537, -0.40392830967903137, 0.263005793094635, 0.26020148396492004, 0.4349434971809387, -0.09499895572662354, 0.09199091047048569, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
9,9,9,0.005798000000140746,0.06457216200033145,False,"[-0.9957572817802429, 1.7209347486495972, 0.4239898920059204, 2.075871467590332, -1.3049503564834595, -0.06259360909461975, -0.26371288299560547, 0.10282465070486069, -0.016717994585633278, -0.4019748866558075, 1.3451573848724365, 1.2679790258407593, -0.06542188674211502, -0.08162456005811691]","[337.0, 2.0, 1.0, 5.0, 8.0, 936.0]","[2.0, 12.0, 0.0, 0.0, 30.0, 990.0]","[-0.005176849663257599, 0.17670932412147522, 0.09182682633399963, 0.9103314280509949, -1.0472508668899536, -0.30343589186668396, -0.012485742568969727, -0.038458019495010376, -0.48079317808151245, 0.03101012110710144, 0.08018234372138977, 0.31813809275627136, -0.29741352796554565, -0.1816340684890747, 0.30000025033950806, 0.30000028014183044, 0.29999998211860657, 0.19999971985816956, 0.10000037401914597, 0.0, 0.8834614753723145, 0.8828684091567993, 0.8828188180923462, 0.8800877332687378, 0.7799239158630371, 0.0]","[-0.9757573008537292, 1.7009347677230835, 0.40398988127708435, 2.0558714866638184, -1.2849503755569458, -0.08259360492229462, -0.2437128871679306, 0.08282464742660522, -0.03671799600124359, -0.38197487592697144, 1.3251574039459229, 1.2479790449142456, -0.08542189002037048, -0.10162456333637238]","[257.0, 0.30000030994415283, 0.2999999523162842, 0.19999980926513672, 0.10000038146972656, 856.0]","[0.8834614753723145, 0.882868766784668, 0.8828188180923462, 0.8800877332687378, 0.7799243927001953, 910.0]","[0.3686946928501129, 0.21257618069648743, -0.19662518799304962, 0.1389690786600113, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3477103114128113, -0.4057978391647339, 0.2632574737071991, 0.2601895034313202, 0.4349434971809387, -0.09499895572662354, 0.09417204558849335, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
