policy_step,dataset_index,dataset_frame,inference_s,action_source,loop_s,sent_to_robot,arm_state,left_hand_state,right_hand_state,predicted_action,limited_arm,limited_left_hand,limited_right_hand,dataset_state,dataset_action
0,0,0,0.0,dataset,0.07934367000052589,True,"[0.20829781889915466, 0.31031954288482666, -0.4194478690624237, 1.009419322013855, -1.24029541015625, -0.05373726412653923, 0.15403324365615845, -0.09092431515455246, -0.16578976809978485, 0.8221418261528015, 1.0257298946380615, 0.07348726689815521, 0.08919858932495117, -0.15011440217494965]","[299.0, 299.0, 299.0, 200.0, 116.0, 268.0]","[899.0, 899.0, 900.0, 900.0, 803.0, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.2182978242635727, 0.3003195524215698, -0.40944787859916687, 0.9994193315505981, -1.2302954196929932, -0.06373726576566696, 0.14403323829174042, -0.08092431724071503, -0.17578977346420288, 0.8121418356895447, 1.0157299041748047, 0.08348726481199265, 0.07919859141111374, -0.14011439681053162]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[900.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.36773595213890076, 0.2125042825937271, -0.19506722688674927, 0.13865748047828674, -1.1988658905029297, -0.09092431515455246, 0.2910129427909851, 0.34811776876449585, -0.39933836460113525, 0.2565223276615143, 0.258667528629303, 0.43556666374206543, -0.10707905143499374, 0.08358997106552124, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24442234635353088, 0.28508755564689636, -0.13917025923728943, -0.055223532021045685, -1.1037503480911255, -0.2001938819885254, 0.139725923538208, 0.2734237611293793, -0.4169085919857025, 0.2973143756389618, 0.24402667582035065, 0.47058749198913574, -0.16312283277511597, 0.12246698141098022, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
1,1,1,0.0,dataset,0.06476424600077735,True,"[0.20835773646831512, 0.31034350395202637, -0.4194478690624237, 1.0094432830810547, -1.2402833700180054, -0.05372528359293938, 0.15403324365615845, -0.09092431515455246, -0.16581374406814575, 0.822105884552002, 1.0257298946380615, 0.07351123541593552, 0.08919858932495117, -0.15013837814331055]","[299.0, 299.0, 299.0, 200.0, 116.0, 268.0]","[899.0, 899.0, 900.0, 900.0, 803.0, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.21835774183273315, 0.30034351348876953, -0.40944787859916687, 0.9994432926177979, -1.2302833795547485, -0.06372528523206711, 0.14403323829174042, -0.08092431724071503, -0.17581374943256378, 0.8121058940887451, 1.0157299041748047, 0.08351123332977295, 0.07919859141111374, -0.14013837277889252]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[900.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.36773595213890076, 0.21249230206012726, -0.195235013961792, 0.1386454999446869, -1.1988658905029297, -0.09092431515455246, 0.2908931076526642, 0.3480578660964966, -0.39961397647857666, 0.2585356831550598, 0.25927871465682983, 0.43553072214126587, -0.10392720252275467, 0.08474045991897583, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24684642255306244, 0.28463566303253174, -0.1363241970539093, -0.06041140854358673, -1.1018574237823486, -0.1937672197818756, 0.13669143617153168, 0.27452579140663147, -0.41791626811027527, 0.29724210500717163, 0.24438706040382385, 0.4686964154243469, -0.16210435330867767, 0.12461793422698975, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
2,2,2,0.0,dataset,0.07791533600175171,True,"[0.21384651958942413, 0.3085698187351227, -0.4131801426410675, 1.0059318542480469, -1.2382341623306274, -0.059477709233760834, 0.1504978984594345, -0.0890188217163086, -0.16892963647842407, 0.8174320459365845, 1.0225540399551392, 0.07829294353723526, 0.08500410616397858, -0.14551246166229248]","[299.0, 299.0, 299.0, 200.0, 116.0, 268.0]","[899.0, 899.0, 900.0, 900.0, 803.0, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.22384652495384216, 0.29856982827186584, -0.40318015217781067, 0.99593186378479, -1.2282341718673706, -0.06947770714759827, 0.14049789309501648, -0.07901882380247116, -0.1789296418428421, 0.8074320554733276, 1.0125540494918823, 0.08829294145107269, 0.07500410825014114, -0.13551245629787445]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[900.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.36775991320610046, 0.21252824366092682, -0.19531890749931335, 0.1387174129486084, -1.1988658905029297, -0.0908883661031723, 0.2907852530479431, 0.3480818271636963, -0.39984169602394104, 0.25965023040771484, 0.2595663368701935, 0.4355546832084656, -0.10284861922264099, 0.08504006266593933, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24689100682735443, 0.2846303880214691, -0.1363029032945633, -0.0604422353208065, -1.1018520593643188, -0.19374361634254456, 0.13668397068977356, 0.2745389938354492, -0.4179222583770752, 0.29726067185401917, 0.2443813979625702, 0.4686882495880127, -0.1621003895998001, 0.12461652606725693, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
3,3,3,0.0,dataset,0.1398381610015349,True,"[0.2148531973361969, 0.30849793553352356, -0.41017210483551025, 1.005764126777649, -1.2381621599197388, -0.0601847805082798, 0.15050987899303436, -0.08888699859380722, -0.1697445660829544, 0.8170005679130554, 1.0217031240463257, 0.08045010268688202, 0.08495616912841797, -0.14444586634635925]","[299.0, 299.0, 299.0, 200.0, 116.0, 268.0]","[899.0, 899.0, 900.0, 900.0, 803.0, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.22485320270061493, 0.2984979450702667, -0.4001721143722534, 0.9957641363143921, -1.228162169456482, -0.07018478214740753, 0.14050987362861633, -0.07888700067996979, -0.17974457144737244, 0.8070005774497986, 1.0117031335830688, 0.09045010060071945, 0.07495617121458054, -0.13444586098194122]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[900.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.3681793808937073, 0.2125042825937271, -0.19537882506847382, 0.13887320458889008, -1.1988539695739746, -0.09076852351427078, 0.2907373011112213, 0.348105788230896, -0.3998536765575409, 0.2610164284706116, 0.25985395908355713, 0.435518741607666, -0.0986781120300293, 0.08531569689512253, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.24807719886302948, 0.28516489267349243, -0.14065061509609222, -0.06366798281669617, -1.1009148359298706, -0.201852485537529, 0.13203182816505432, 0.276168555021286, -0.41826769709587097, 0.29840776324272156, 0.2408219873905182, 0.466248095035553, -0.16178582608699799, 0.12428159266710281, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
4,4,4,0.0,dataset,0.10906439399877854,True,"[0.21868814527988434, 0.30789870023727417, -0.4034968912601471, 1.0042541027069092, -1.2378267049789429, -0.06236590817570686, 0.15024623274803162, -0.08736500144004822, -0.17197363078594208, 0.8147355914115906, 1.0195460319519043, 0.08363790810108185, 0.08168447762727737, -0.1411621868610382]","[299.0, 299.0, 299.0, 200.0, 116.0, 268.0]","[899.0, 899.0, 900.0, 900.0, 803.0, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.22868815064430237, 0.29789870977401733, -0.39349690079689026, 0.9942541122436523, -1.227826714515686, -0.0723659098148346, 0.1402462273836136, -0.07736500352621078, -0.1819736361503601, 0.8047356009483337, 1.0095460414886475, 0.09363790601491928, 0.07168447971343994, -0.13116218149662018]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[900.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.36868271231651306, 0.21251626312732697, -0.19572636485099792, 0.13893312215805054, -1.1988539695739746, -0.09076852351427078, 0.29062944650650024, 0.3481297492980957, -0.3999974727630615, 0.26222681999206543, 0.2602614164352417, 0.4354947507381439, -0.09526260942220688, 0.08536363393068314, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25130826234817505, 0.28666701912879944, -0.14098431169986725, -0.06589779257774353, -1.1020902395248413, -0.2014167308807373, 0.13018003106117249, 0.27710941433906555, -0.42045536637306213, 0.29764172434806824, 0.24073772132396698, 0.4670392572879791, -0.16246454417705536, 0.12703220546245575, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
5,5,5,0.0,dataset,0.06916788200032897,True,"[0.22021013498306274, 0.3078387975692749, -0.40233442187309265, 1.0041342973709106, -1.237838625907898, -0.0625816211104393, 0.15024623274803162, -0.08725714683532715, -0.17226125299930573, 0.8143041133880615, 1.0192583799362183, 0.08460862934589386, 0.0815286859869957, -0.1403113156557083]","[299.0, 299.0, 299.0, 200.0, 116.0, 268.0]","[899.0, 899.0, 900.0, 900.0, 803.0, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.23021014034748077, 0.29783880710601807, -0.3923344314098358, 0.9941343069076538, -1.2278386354446411, -0.07258161902427673, 0.1402462273836136, -0.07725714892148972, -0.18226125836372375, 0.8043041229248047, 1.0092583894729614, 0.09460862725973129, 0.07152868807315826, -0.13031131029129028]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[900.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.3686227798461914, 0.21254023909568787, -0.19567842781543732, 0.13887320458889008, -1.19884192943573, -0.09079249203205109, 0.2885202169418335, 0.3476743698120117, -0.4002012312412262, 0.26253843307495117, 0.26020148396492004, 0.4355067312717438, -0.09521467238664627, 0.0860946774482727, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.2549981474876404, 0.2870613932609558, -0.14092257618904114, -0.06805554032325745, -1.1065564155578613, -0.2047654092311859, 0.12537433207035065, 0.2792743444442749, -0.4217317998409271, 0.2964577376842499, 0.2388928234577179, 0.4631003141403198, -0.16382800042629242, 0.13129085302352905, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
6,6,6,0.0,dataset,0.07918824300031702,True,"[0.22436866164207458, 0.3076710104942322, -0.39866724610328674, 1.0036548376083374, -1.2376588582992554, -0.06303702294826508, 0.15021027624607086, -0.08665793389081955, -0.17342372238636017, 0.8129618763923645, 1.0186951160430908, 0.08593887835741043, 0.07908390462398529, -0.13759088516235352]","[299.0, 299.0, 299.0, 200.0, 116.0, 268.0]","[899.0, 899.0, 900.0, 900.0, 803.0, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.23436866700649261, 0.29767102003097534, -0.3886672556400299, 0.9936548471450806, -1.2276588678359985, -0.07303702086210251, 0.14021027088165283, -0.07665793597698212, -0.1834237277507782, 0.8029618859291077, 1.008695125579834, 0.09593887627124786, 0.06908390671014786, -0.12759087979793549]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[900.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.3686707317829132, 0.21254023909568787, -0.19606192409992218, 0.13888518512248993, -1.1988539695739746, -0.09080447256565094, 0.28740569949150085, 0.34744665026664734, -0.4011719524860382, 0.26253843307495117, 0.2602134943008423, 0.4354468286037445, -0.09520268440246582, 0.0869215875864029, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25489333271980286, 0.2874063551425934, -0.1409178376197815, -0.06747577339410782, -1.1075489521026611, -0.20959724485874176, 0.12356153130531311, 0.2808116674423218, -0.4227813482284546, 0.29641422629356384, 0.23240554332733154, 0.4568215310573578, -0.16366742551326752, 0.1350734531879425, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
7,7,7,0.0,dataset,0.07392829899981734,True,"[0.22696924209594727, 0.30768299102783203, -0.394988089799881, 1.0035829544067383, -1.2376708984375, -0.06314488500356674, 0.15018631517887115, -0.08644221723079681, -0.17420269548892975, 0.8126383423805237, 1.0183355808258057, 0.08682571351528168, 0.07789746671915054, -0.13616476953029633]","[299.0, 299.0, 299.0, 200.0, 116.0, 268.0]","[899.0, 899.0, 900.0, 900.0, 803.0, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.2369692474603653, 0.2976830005645752, -0.38498809933662415, 0.9935829639434814, -1.2276709079742432, -0.07314488291740417, 0.14018630981445312, -0.07644221931695938, -0.18420270085334778, 0.8026383519172668, 1.0083355903625488, 0.09682571142911911, 0.06789746880531311, -0.1261647641658783]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[900.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.3686946928501129, 0.21254023909568787, -0.19609788060188293, 0.13893312215805054, -1.1988779306411743, -0.09080447256565094, 0.2874176800251007, 0.34809380769729614, -0.4016273319721222, 0.262550413608551, 0.2602134943008423, 0.4351711869239807, -0.09515474736690521, 0.08778444677591324, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25315022468566895, 0.2873590886592865, -0.14541850984096527, -0.06472344696521759, -1.104962706565857, -0.21491335332393646, 0.12630820274353027, 0.27968114614486694, -0.4240519106388092, 0.2986530065536499, 0.23073317110538483, 0.45636704564094543, -0.16286036372184753, 0.1347084641456604, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
8,8,8,0.0,dataset,0.07719718599946646,True,"[0.23046863079071045, 0.3075871169567108, -0.3904460668563843, 1.0033552646636963, -1.2376229763031006, -0.0632048025727272, 0.1501743197441101, -0.08593887835741043, -0.17499366402626038, 0.8120271563529968, 1.0179880857467651, 0.08738896995782852, 0.0760878473520279, -0.13491840660572052]","[299.0, 299.0, 299.0, 200.0, 116.0, 268.0]","[899.0, 899.0, 900.0, 900.0, 803.0, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.24046863615512848, 0.297587126493454, -0.38044607639312744, 0.9933552742004395, -1.2276229858398438, -0.07320480048656464, 0.14017431437969208, -0.075938880443573, -0.1849936693906784, 0.80202716588974, 1.0079880952835083, 0.09738896787166595, 0.06608784943819046, -0.12491840869188309]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[900.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.3686946928501129, 0.21256420016288757, -0.19633756577968597, 0.13895709812641144, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3479020595550537, -0.40392830967903137, 0.263005793094635, 0.26020148396492004, 0.4349434971809387, -0.09499895572662354, 0.09199091047048569, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.25268545746803284, 0.28890952467918396, -0.14564628899097443, -0.06276678293943405, -1.1094121932983398, -0.21706220507621765, 0.12585130333900452, 0.2802010178565979, -0.427080899477005, 0.29866084456443787, 0.22760653495788574, 0.45402583479881287, -0.16312015056610107, 0.13579297065734863, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
9,9,9,0.0,dataset,0.06631503599965072,True,"[0.23389612138271332, 0.3075631558895111, -0.3871264159679413, 1.0033193826675415, -1.237610936164856, -0.06334861367940903, 0.15016233921051025, -0.08565125614404678, -0.17560485005378723, 0.8117754459381104, 1.0178921222686768, 0.08853945881128311, 0.07443401962518692, -0.13400760293006897]","[299.0, 299.0, 299.0, 200.0, 116.0, 268.0]","[899.0, 899.0, 900.0, 900.0, 803.0, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]","[0.24389612674713135, 0.2975631654262543, -0.37712642550468445, 0.9933193922042847, -1.2276109457015991, -0.07334861159324646, 0.14016233384609222, -0.07565125823020935, -0.18560485541820526, 0.8017754554748535, 1.00789213180542, 0.09853945672512054, 0.06443402171134949, -0.12400760501623154]","[300.0, 300.0, 300.0, 200.0, 100.0, 218.0]","[900.0, 900.0, 900.0, 900.0, 800.0, 0.0]","[0.3686946928501129, 0.21257618069648743, -0.19662518799304962, 0.1389690786600113, -1.1988779306411743, -0.090864397585392, 0.28740569949150085, 0.3477103114128113, -0.4057978391647339, 0.2632574737071991, 0.2601895034313202, 0.4349434971809387, -0.09499895572662354, 0.09417204558849335, 0.30000001192092896, 0.29899999499320984, 0.29899999499320984, 0.19900000095367432, 1.0, 0.0, 0.8980000019073486, 0.8989999890327454, 0.8999999761581421, 0.8999999761581421, 0.8009999990463257, 0.0]","[0.252299964427948, 0.28918129205703735, -0.14630362391471863, -0.06224444508552551, -1.1108037233352661, -0.21874727308750153, 0.12717337906360626, 0.2800115942955017, -0.42830541729927063, 0.29901713132858276, 0.22527562081813812, 0.45009419322013855, -0.16269159317016602, 0.13778527081012726, 0.30000001192092896, 0.30000001192092896, 0.30000001192092896, 0.20000000298023224, 0.10000000149011612, 0.0, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.8999999761581421, 0.800000011920929, 0.0]"
